op	width	scale	prod_ns	branch_ns	delta_ns	delta_pct	ratio
atan	D38	37	13947.027	14139.811	192.783	1.382	1.0138
atanh	D230	115	43293.688	43891.507	597.820	1.381	1.0138
asinh	D616	462	396959.165	402418.691	5459.527	1.375	1.0138
tanh	D76	38	6327.382	6413.854	86.472	1.367	1.0137
add	D115	57	4.391	4.451	0.060	1.361	1.0136
asin	D153	114	40521.650	41070.717	549.067	1.355	1.0135
hypot	D924	231	3374.811	3420.124	45.313	1.343	1.0134
sin	D153	0	22.766	23.071	0.305	1.342	1.0134
asin	D616	308	202340.736	205051.137	2710.401	1.340	1.0134
hypot	D924	462	10869.736	11014.866	145.130	1.335	1.0134
to_degrees	D616	308	2749.209	2785.779	36.570	1.330	1.0133
log	D616	154	39619.765	40145.381	525.616	1.327	1.0133
mul	D153	114	231.560	234.631	3.071	1.326	1.0133
asinh	D153	114	32893.947	33327.955	434.008	1.319	1.0132
ln	D307	76	602.254	610.148	7.894	1.311	1.0131
log	D115	86	10184.381	10317.698	133.317	1.309	1.0131
atan	D307	76	22082.423	22370.564	288.141	1.305	1.0130
atan	D115	86	29924.792	30313.593	388.800	1.299	1.0130
div	D153	114	217.830	220.631	2.801	1.286	1.0129
log	D1232	616	117085.792	118570.060	1484.268	1.268	1.0127
powf	D616	462	350415.279	354856.667	4441.388	1.267	1.0127
acosh	D230	0	8152.433	8255.341	102.908	1.262	1.0126
to_radians	D924	231	3077.459	3116.231	38.772	1.260	1.0126
div	D57	14	49.070	49.688	0.618	1.259	1.0126
rem	D462	231	88.212	89.316	1.105	1.252	1.0125
atan	D115	28	5632.784	5703.104	70.320	1.248	1.0125
asin	D616	154	59708.676	60453.090	744.414	1.247	1.0125
log	D924	0	42767.301	43296.155	528.854	1.237	1.0124
cosh	D115	114	27784.469	28127.821	343.353	1.236	1.0124
log	D57	42	3742.864	3789.106	46.242	1.235	1.0124
ln	D115	86	1026.280	1038.940	12.661	1.234	1.0123
asin	D115	28	6511.872	6592.020	80.148	1.231	1.0123
atan	D230	115	39438.510	39923.391	484.881	1.229	1.0123
rem	D462	346	71.999	72.875	0.876	1.217	1.0122
atanh	D76	75	11463.324	11601.689	138.365	1.207	1.0121
ln	D307	306	10257.462	10380.681	123.220	1.201	1.0120
hypot	D924	0	108.162	109.459	1.297	1.199	1.0120
to_radians	D616	308	3472.429	3513.883	41.454	1.194	1.0119
to_degrees	D616	154	1729.396	1750.021	20.625	1.193	1.0119
asinh	D616	615	662017.611	669873.074	7855.463	1.187	1.0119
acosh	D307	0	13073.523	13228.385	154.862	1.185	1.0118
acosh	D230	57	16836.744	17035.249	198.505	1.179	1.0118
atan	D1232	616	460394.271	465821.087	5426.816	1.179	1.0118
atan	D230	57	22433.117	22694.287	261.170	1.164	1.0116
cbrt	D1232	616	102129.513	103315.039	1185.527	1.161	1.0116
cosh	D616	0	199.374	201.676	2.302	1.155	1.0115
asinh	D924	0	111.159	112.439	1.280	1.152	1.0115
exp	D616	154	34532.214	34927.617	395.403	1.145	1.0115
div	D115	114	228.046	230.650	2.604	1.142	1.0114
to_radians	D57	56	514.301	520.158	5.856	1.139	1.0114
log	D153	114	9718.899	9829.530	110.631	1.138	1.0114
atan	D462	0	2937.829	2971.097	33.268	1.132	1.0113
powf	D76	57	4922.696	4978.237	55.541	1.128	1.0113
ln	D76	19	272.033	275.093	3.060	1.125	1.0112
ln	D1232	308	2938.539	2971.575	33.037	1.124	1.0112
tan	D616	154	33466.557	33840.886	374.329	1.119	1.0112
acos	D616	462	415904.293	420523.170	4618.878	1.111	1.0111
acosh	D76	75	7742.880	7828.269	85.389	1.103	1.0110
acos	D230	115	44829.169	45323.418	494.249	1.103	1.0110
sin	D616	308	118725.656	120031.036	1305.380	1.099	1.0110
log	D616	615	79344.875	80214.568	869.693	1.096	1.0110
add	D462	231	32.809	33.164	0.355	1.083	1.0108
sinh	D57	42	6431.827	6501.435	69.608	1.082	1.0108
exp	D153	76	11591.918	11717.321	125.403	1.082	1.0108
cosh	D153	114	22516.057	22759.630	243.573	1.082	1.0108
asin	D307	76	24554.441	24819.407	264.965	1.079	1.0108
sqrt	D153	76	1010.696	1021.538	10.842	1.073	1.0107
acos	D38	37	15900.043	16069.561	169.518	1.066	1.0107
acosh	D230	115	28173.331	28471.787	298.456	1.059	1.0106
asinh	D616	154	104250.781	105351.139	1100.358	1.055	1.0106
sqrt	D153	152	2654.297	2682.196	27.899	1.051	1.0105
cos	D230	57	10010.569	10115.387	104.818	1.047	1.0105
sinh	D616	154	35695.050	36063.367	368.317	1.032	1.0103
asin	D230	115	43754.147	44205.470	451.323	1.031	1.0103
ln	D115	0	282.525	285.437	2.912	1.031	1.0103
powf	D153	152	11807.574	11928.843	121.269	1.027	1.0103
mul	D115	114	250.735	253.310	2.575	1.027	1.0103
to_degrees	D307	0	882.745	891.807	9.063	1.027	1.0103
to_radians	D38	37	206.452	208.572	2.119	1.027	1.0103
cos	D616	615	450760.570	455384.158	4623.588	1.026	1.0103
sinh	D76	38	6122.234	6184.816	62.582	1.022	1.0102
acos	D115	28	6552.863	6619.601	66.738	1.018	1.0102
sinh	D230	57	14432.537	14578.495	145.958	1.011	1.0101
cosh	D616	154	35729.867	36091.159	361.292	1.011	1.0101
div	D924	231	949.133	958.674	9.541	1.005	1.0101
asin	D38	37	15829.250	15988.156	158.907	1.004	1.0100
asinh	D307	153	72490.837	73217.067	726.230	1.002	1.0100
acos	D616	154	59523.489	60116.973	593.484	0.997	1.0100
sinh	D924	693	554275.337	559800.945	5525.608	0.997	1.0100
atan	D38	9	5441.979	5496.189	54.210	0.996	1.0100
add	D462	346	29.585	29.874	0.289	0.978	1.0098
hypot	D924	693	22990.625	23214.864	224.239	0.975	1.0098
div	D230	229	586.099	591.815	5.716	0.975	1.0098
powf	D616	0	704.522	711.380	6.858	0.973	1.0097
acosh	D57	0	3035.448	3064.867	29.418	0.969	1.0097
powf	D76	38	3755.973	3792.075	36.102	0.961	1.0096
cbrt	D153	38	2604.546	2629.475	24.929	0.957	1.0096
tan	D924	0	159.718	161.243	1.525	0.955	1.0095
ln	D230	172	1193.532	1204.912	11.379	0.953	1.0095
sinh	D76	75	9824.980	9918.476	93.496	0.952	1.0095
ln	D76	75	499.469	504.221	4.752	0.951	1.0095
sin	D616	462	248703.847	251069.290	2365.444	0.951	1.0095
atan	D153	114	36805.661	37155.722	350.060	0.951	1.0095
hypot	D153	0	25.643	25.886	0.243	0.949	1.0095
rem	D153	76	10.768	10.870	0.102	0.946	1.0095
asin	D616	462	416263.606	420184.431	3920.826	0.942	1.0094
log	D307	306	28431.936	28699.665	267.729	0.942	1.0094
cosh	D76	75	9809.617	9901.936	92.319	0.941	1.0094
cos	D462	461	230020.744	232176.372	2155.627	0.937	1.0094
acos	D76	75	16769.509	16926.105	156.596	0.934	1.0093
tan	D76	75	8646.744	8726.883	80.139	0.927	1.0093
powf	D230	57	13098.294	13219.473	121.179	0.925	1.0093
cosh	D57	42	6412.594	6471.894	59.300	0.925	1.0092
rem	D115	0	12.663	12.780	0.117	0.924	1.0092
atanh	D153	38	14702.161	14837.750	135.589	0.922	1.0092
cos	D230	115	19877.569	20058.605	181.036	0.911	1.0091
tanh	D76	75	10089.855	10181.373	91.518	0.907	1.0091
asin	D307	306	191306.245	193036.206	1729.961	0.904	1.0090
sin	D76	38	3990.747	4026.636	35.889	0.899	1.0090
tanh	D153	76	11848.998	11955.481	106.483	0.899	1.0090
sub	D616	154	44.668	45.066	0.398	0.892	1.0089
tanh	D57	0	2438.720	2460.396	21.676	0.889	1.0089
atan	D38	19	5857.756	5909.432	51.675	0.882	1.0088
ln	D115	114	1041.445	1050.609	9.164	0.880	1.0088
acosh	D924	231	130280.267	131421.909	1141.642	0.876	1.0088
to_radians	D616	154	2310.708	2330.931	20.223	0.875	1.0088
ln	D924	693	3351.423	3380.504	29.081	0.868	1.0087
to_radians	D76	75	464.167	468.193	4.027	0.868	1.0087
powf	D57	56	4927.966	4970.290	42.325	0.859	1.0086
sinh	D76	57	9990.033	10075.750	85.717	0.858	1.0086
neg	D153	76	2.852	2.876	0.024	0.856	1.0086
ln	D616	615	3555.629	3585.804	30.175	0.849	1.0085
mul	D230	0	27.437	27.668	0.231	0.843	1.0084
atan	D76	0	4163.161	4198.138	34.977	0.840	1.0084
add	D924	231	55.016	55.478	0.462	0.840	1.0084
exp	D307	76	13151.270	13261.042	109.772	0.835	1.0083
tan	D76	19	2763.247	2786.304	23.057	0.834	1.0083
powf	D153	76	7338.146	7398.968	60.822	0.829	1.0083
exp	D76	19	3241.200	3268.017	26.817	0.827	1.0083
asin	D307	0	5263.304	5306.699	43.395	0.824	1.0082
atanh	D76	38	6636.301	6690.864	54.563	0.822	1.0082
add	D153	76	3.848	3.879	0.032	0.821	1.0082
mul	D307	0	53.937	54.379	0.443	0.821	1.0082
tanh	D153	114	23087.394	23275.430	188.036	0.814	1.0081
log	D462	461	33489.053	33760.807	271.753	0.811	1.0081
div	D57	28	48.189	48.580	0.391	0.811	1.0081
sqrt	D230	57	1681.554	1695.158	13.604	0.809	1.0081
add	D76	38	2.691	2.713	0.022	0.808	1.0081
rem	D616	615	91.469	92.207	0.737	0.806	1.0081
asin	D57	0	4282.222	4316.579	34.357	0.802	1.0080
cosh	D230	57	14491.946	14607.768	115.822	0.799	1.0080
sqrt	D76	38	498.566	502.514	3.949	0.792	1.0079
tan	D153	76	8874.708	8944.527	69.820	0.787	1.0079
to_radians	D38	28	189.613	191.092	1.478	0.780	1.0078
acosh	D76	38	4834.179	4871.605	37.426	0.774	1.0077
acosh	D616	0	18620.378	18763.525	143.147	0.769	1.0077
powf	D115	57	8864.659	8932.747	68.088	0.768	1.0077
atanh	D924	231	216889.970	218543.782	1653.812	0.763	1.0076
powf	D153	114	10827.502	10909.461	81.960	0.757	1.0076
ln	D38	19	369.453	372.248	2.795	0.757	1.0076
exp	D115	114	23176.486	23350.309	173.823	0.750	1.0075
asinh	D230	229	101502.585	102263.315	760.730	0.749	1.0075
cos	D153	114	18034.310	18168.831	134.520	0.746	1.0075
atanh	D616	0	3228.229	3252.241	24.011	0.744	1.0074
ln	D462	231	3651.478	3678.386	26.908	0.737	1.0074
mul	D153	38	57.130	57.551	0.421	0.737	1.0074
asin	D76	75	16779.886	16903.161	123.275	0.735	1.0073
sin	D230	0	48.862	49.220	0.358	0.733	1.0073
atan	D38	0	5283.378	5321.743	38.364	0.726	1.0073
tanh	D76	57	10296.450	10370.911	74.461	0.723	1.0072
hypot	D230	57	632.644	637.207	4.563	0.721	1.0072
sub	D38	28	1.606	1.618	0.012	0.720	1.0072
tanh	D57	42	6687.014	6735.141	48.127	0.720	1.0072
log	D76	57	4571.269	4603.986	32.718	0.716	1.0072
ln	D1232	1231	6564.857	6611.815	46.958	0.715	1.0072
acosh	D230	172	38312.690	38584.930	272.240	0.711	1.0071
sub	D1232	616	87.740	88.363	0.623	0.710	1.0071
sin	D616	615	446983.077	450148.700	3165.623	0.708	1.0071
rem	D616	462	77.261	77.807	0.546	0.707	1.0071
atan	D230	229	118860.246	119697.932	837.685	0.705	1.0070
rem	D307	306	51.866	52.230	0.363	0.701	1.0070
tanh	D115	0	5466.365	5504.645	38.280	0.700	1.0070
to_radians	D76	57	511.754	515.306	3.551	0.694	1.0069
tanh	D230	229	84344.606	84928.437	583.831	0.692	1.0069
tan	D616	462	275641.989	277542.353	1900.364	0.689	1.0069
acos	D76	0	5114.554	5149.803	35.249	0.689	1.0069
acosh	D616	154	71904.564	72399.648	495.085	0.689	1.0069
cosh	D230	229	83458.033	84028.159	570.126	0.683	1.0068
acos	D230	172	63542.241	63974.830	432.588	0.681	1.0068
to_radians	D38	19	187.907	189.177	1.270	0.676	1.0068
tan	D230	57	13585.369	13676.432	91.064	0.670	1.0067
log	D230	172	12306.383	12388.411	82.028	0.667	1.0067
add	D38	0	1.605	1.616	0.011	0.666	1.0067
sin	D230	229	71321.961	71794.063	472.102	0.662	1.0066
cbrt	D76	57	1356.493	1365.458	8.964	0.661	1.0066
powf	D153	38	9016.380	9075.871	59.492	0.660	1.0066
cbrt	D76	75	1469.589	1479.241	9.652	0.657	1.0066
div	D57	42	86.878	87.448	0.570	0.656	1.0066
exp	D924	231	73247.520	73727.174	479.655	0.655	1.0065
asin	D230	229	129837.218	130682.263	845.044	0.651	1.0065
asinh	D230	57	26021.940	26190.035	168.095	0.646	1.0065
div	D76	57	104.848	105.523	0.675	0.644	1.0064
asinh	D153	76	17504.282	17616.149	111.867	0.639	1.0064
tanh	D616	154	36841.983	37076.042	234.059	0.635	1.0064
exp	D57	42	4451.213	4479.454	28.240	0.634	1.0063
cosh	D153	76	11781.206	11855.680	74.474	0.632	1.0063
cbrt	D616	308	37470.777	37707.466	236.689	0.632	1.0063
atan	D57	42	10721.906	10788.628	66.722	0.622	1.0062
sqrt	D924	231	8889.705	8944.630	54.926	0.618	1.0062
mul	D307	230	1082.048	1088.684	6.637	0.613	1.0061
sinh	D462	461	247080.453	248589.193	1508.740	0.611	1.0061
tanh	D230	0	2860.747	2878.194	17.447	0.610	1.0061
cosh	D76	38	6110.766	6148.020	37.254	0.610	1.0061
add	D616	154	45.236	45.511	0.275	0.607	1.0061
div	D18	9	6.262	6.300	0.038	0.602	1.0060
acosh	D153	38	10616.386	10679.918	63.532	0.598	1.0060
cbrt	D1232	0	522.321	525.419	3.098	0.593	1.0059
tanh	D230	57	14931.703	15019.960	88.257	0.591	1.0059
div	D18	17	9.899	9.957	0.058	0.591	1.0059
add	D1232	616	77.655	78.113	0.459	0.591	1.0059
to_degrees	D307	153	1615.346	1624.883	9.537	0.590	1.0059
tan	D230	229	80326.415	80800.192	473.777	0.590	1.0059
acosh	D924	462	378221.231	380450.778	2229.547	0.589	1.0059
asinh	D153	152	43874.529	44132.281	257.753	0.587	1.0059
sinh	D924	231	74797.672	75237.064	439.392	0.587	1.0059
add	D1232	1231	114.333	115.003	0.670	0.586	1.0059
mul	D57	14	19.381	19.493	0.113	0.581	1.0058
tanh	D924	693	561206.630	564464.484	3257.854	0.581	1.0058
div	D616	0	255.146	256.627	1.481	0.580	1.0058
cos	D57	42	4286.726	4311.535	24.809	0.579	1.0058
sin	D230	172	32107.491	32291.432	183.940	0.573	1.0057
div	D307	0	141.875	142.687	0.812	0.572	1.0057
