# library: fastnum
# key: method	width	scale	rounding	result
# result columns: kind(executed|na)	max_lsbe	max_ulp	scored	correctly_rounded	max_digits	reach_scale
# max_digits = exact decimal-digit length of the worst error magnitude (what the fidelity grade scores); max_lsbe is its bit-width.
# reach_scale = the depth (fractional digits) this library was actually graded at — its own last representable digit; equals `scale` for arbitrary-precision peers and decimal-scaled, equals the library's cap for a fixed-precision peer running on a deeper cell. The lsbe/ulp/digits in this row measure correctness at THAT depth (grade-at-own-last-digit), and the gap `scale - reach_scale` is the shallower-reach metric.
# source: benches/lib_cmp_precision.rs (regenerate with `cargo bench --bench lib_cmp_precision --features wide,x-wide,xx-wide,macros`)
method	width	scale	rounding	kind	max_lsbe	max_ulp	scored	correctly_rounded	max_digits	reach_scale
log10	D76	0	HalfAwayFromZero	executed	0	0	65	65	0	0
log10	D76	19	HalfAwayFromZero	executed	0	0	59	59	0	19
log10	D76	38	HalfAwayFromZero	executed	0	0	9	9	0	34
log10	D76	57	HalfAwayFromZero	executed	0	0	1	1	0	34
log10	D76	75	HalfAwayFromZero	na	-1	na	0	0	-1	34
log10	D115	0	HalfAwayFromZero	executed	0	0	62	62	0	0
log10	D115	28	HalfAwayFromZero	executed	0	0	43	43	0	28
log10	D115	57	HalfAwayFromZero	executed	0	0	1	1	0	34
log10	D115	86	HalfAwayFromZero	executed	0	0	1	1	0	34
log10	D115	114	HalfAwayFromZero	na	-1	na	0	0	-1	34
log10	D153	0	HalfAwayFromZero	executed	0	0	59	59	0	0
log10	D153	38	HalfAwayFromZero	executed	0	0	7	7	0	34
log10	D153	76	HalfAwayFromZero	executed	0	0	1	1	0	34
log10	D153	114	HalfAwayFromZero	executed	0	0	1	1	0	34
log10	D153	152	HalfAwayFromZero	na	-1	na	0	0	-1	34
log10	D230	0	HalfAwayFromZero	executed	0	0	93	93	0	0
log10	D230	57	HalfAwayFromZero	executed	0	0	1	1	0	34
log10	D230	115	HalfAwayFromZero	executed	0	0	1	1	0	34
log10	D230	172	HalfAwayFromZero	executed	0	0	1	1	0	34
log10	D230	229	HalfAwayFromZero	na	-1	na	0	0	-1	34
