function	width	version	nanos	min	max
atan2	307	decimal-scaled@0.5.0	22331	1172	9041870
atan2	38	decimal-scaled	4726	129	46599
atan2	38	decimal-scaled@0.3.3	122403	1347	826749
atan2	38	decimal-scaled@0.4.4	17975	324	34691
atan2	38	decimal-scaled@0.5.0	7883	462	28391
atan2	462	decimal-scaled	19847	1452	6048056
atan2	462	decimal-scaled@0.4.4	103698	1923	9119095
atan2	462	decimal-scaled@0.5.0	22302	1362	10041342
atan2	57	decimal-scaled	11738	641	46317
atan2	57	decimal-scaled@0.4.4	34088	301	70241
atan2	57	decimal-scaled@0.5.0	13696	480	66595
atan2	616	decimal-scaled	14888	1087	6024104
atan2	616	decimal-scaled@0.4.4	100513	2264	9123352
atan2	616	decimal-scaled@0.5.0	16896	1028	9025170
atan2	76	decimal-scaled	10516	611	36555
atan2	76	decimal-scaled@0.3.3	45869	1232	54502
atan2	76	decimal-scaled@0.4.4	24617	220	77527
atan2	76	decimal-scaled@0.5.0	11718	471	36495
atan2	924	decimal-scaled	17520	1653	6029765
atan2	924	decimal-scaled@0.4.4	168992	3053	10196973
atan2	924	decimal-scaled@0.5.0	19764	1318	9030884
atanh	115	decimal-scaled	108355	58055	9275088
atanh	115	decimal-scaled@0.4.4	242573	155380	11245281
atanh	115	decimal-scaled@0.5.0	106452	57785	9123735
atanh	1232	decimal-scaled	118981	62787	9138868
atanh	1232	decimal-scaled@0.4.4	1093288	767311	10246418
atanh	1232	decimal-scaled@0.5.0	118541	65983	9136862
atanh	153	decimal-scaled	73030	38578	6093820
atanh	153	decimal-scaled@0.3.3	43561	25408	12052003
atanh	153	decimal-scaled@0.4.4	148174	99770	14681973
atanh	153	decimal-scaled@0.5.0	72019	39660	14081057
atanh	18	decimal-scaled	3147	40	8045
atanh	18	decimal-scaled@0.4.4	5932	54	17535
atanh	18	decimal-scaled@0.5.0	6044	48	14055
atanh	230	decimal-scaled	95744	50556	6117699
atanh	230	decimal-scaled@0.3.3	89925	59659	6113585
atanh	230	decimal-scaled@0.4.4	270745	172198	12255973
atanh	230	decimal-scaled@0.5.0	93050	49864	9105744
atanh	307	decimal-scaled	118300	62917	10161827
atanh	307	decimal-scaled@0.3.3	140472	71614	11166482
atanh	307	decimal-scaled@0.4.4	453275	291173	10429923
atanh	307	decimal-scaled@0.5.0	117128	65713	10134145
atanh	38	decimal-scaled	4570	1261	64290
atanh	38	decimal-scaled@0.3.3	94366	23173	333139
atanh	38	decimal-scaled@0.4.4	8002	5022	22480
atanh	38	decimal-scaled@0.5.0	8222	4926	59392
atanh	462	decimal-scaled	115836	63018	6207374
atanh	462	decimal-scaled@0.4.4	425524	274572	9489155
atanh	462	decimal-scaled@0.5.0	116848	60573	9147676
atanh	57	decimal-scaled	52098	28023	81092
atanh	57	decimal-scaled@0.4.4	124594	80601	181490
atanh	57	decimal-scaled@0.5.0	51917	28383	94647
atanh	616	decimal-scaled	90589	47952	8101318
atanh	616	decimal-scaled@0.4.4	411163	262508	9390787
atanh	616	decimal-scaled@0.5.0	88258	48329	9098086
atanh	76	decimal-scaled	44397	23946	66942
atanh	76	decimal-scaled@0.3.3	29910	18297	56886
atanh	76	decimal-scaled@0.4.4	88684	58349	138609
atanh	76	decimal-scaled@0.5.0	44016	23655	87282
atanh	924	decimal-scaled	106107	57832	7117707
atanh	924	decimal-scaled@0.4.4	690037	416610	11564898
atanh	924	decimal-scaled@0.5.0	105166	59443	9119016
cbrt	115	decimal-scaled	1422	801	2718261
cbrt	115	decimal-scaled@0.4.4	6489	5718	30254
cbrt	115	decimal-scaled@0.5.0	3155	2714	5020298
cbrt	1232	decimal-scaled	3016	2435	3021209
cbrt	1232	decimal-scaled@0.4.4	48400	38621	7063692
cbrt	1232	decimal-scaled@0.5.0	5010	3186	3058198
cbrt	153	decimal-scaled	1071	691	1992144
cbrt	153	decimal-scaled@0.3.3	6230	4587	3017040
cbrt	153	decimal-scaled@0.4.4	4497	3916	6013499
cbrt	153	decimal-scaled@0.5.0	2544	2114	29154
cbrt	18	decimal-scaled	324	288	736
cbrt	18	decimal-scaled@0.4.4	7072	3548	13064
cbrt	18	decimal-scaled@0.5.0	2424	2270	15174
cbrt	230	decimal-scaled	1212	1061	3125
cbrt	230	decimal-scaled@0.3.3	13410	10215	4027925
cbrt	230	decimal-scaled@0.4.4	9434	7962	3022356
cbrt	230	decimal-scaled@0.5.0	2814	2543	6017219
cbrt	307	decimal-scaled	1743	1433	8028160
cbrt	307	decimal-scaled@0.3.3	20288	12764	5080408
cbrt	307	decimal-scaled@0.4.4	15649	9317	6035096
cbrt	307	decimal-scaled@0.5.0	3868	3266	8029232
cbrt	38	decimal-scaled	431	388	11432
cbrt	38	decimal-scaled@0.3.3	8000	4528	14085
cbrt	38	decimal-scaled@0.4.4	7979	4487	18700
cbrt	38	decimal-scaled@0.5.0	4505	4453	13632
cbrt	462	decimal-scaled	1804	1523	28503
cbrt	462	decimal-scaled@0.4.4	19126	15408	6048086
cbrt	462	decimal-scaled@0.5.0	3987	3176	2030236
cbrt	57	decimal-scaled	651	611	1102
cbrt	57	decimal-scaled@0.4.4	2515	2174	13755
cbrt	57	decimal-scaled@0.5.0	851	802	13204
cbrt	616	decimal-scaled	1512	1163	3010641
cbrt	616	decimal-scaled@0.4.4	16550	12499	6032483
cbrt	616	decimal-scaled@0.5.0	3321	2712	5340645
cbrt	76	decimal-scaled	1052	691	1322
cbrt	76	decimal-scaled@0.3.3	3646	2695	11417
cbrt	76	decimal-scaled@0.4.4	2594	2363	9184
cbrt	76	decimal-scaled@0.5.0	1171	761	12138
cbrt	924	decimal-scaled	2118	1705	24860
cbrt	924	decimal-scaled@0.4.4	28028	24753	9038303
cbrt	924	decimal-scaled@0.5.0	3568	2820	3024123
cos	115	decimal-scaled	9744	2914	3981917
cos	115	decimal-scaled@0.4.4	38637	6289	9060291
cos	115	decimal-scaled@0.5.0	9073	2384	7937925
cos	1232	decimal-scaled	11181	3937	6030565
cos	1232	decimal-scaled@0.4.4	166054	33272	9187149
cos	1232	decimal-scaled@0.5.0	10720	3817	6029734
cos	153	decimal-scaled	5694	1532	3955616
cos	153	decimal-scaled@0.3.3	32088	8853	6051427
cos	153	decimal-scaled@0.4.4	22870	3866	11044297
