function	width	scale	mode	passed	failed	na
acos	38	2	ZeroFiveUp	9	0	4006
acos	38	28	AwayFromZero	3718	0	297
acos	38	28	Ceiling	3718	0	297
acos	38	28	Floor	3718	0	297
acos	38	28	HalfAwayFromZero	3718	0	297
acos	38	28	HalfToEven	3718	0	297
acos	38	28	HalfTowardZero	3718	0	297
acos	38	28	Trunc	3718	0	297
acos	38	28	ZeroFiveUp	3718	0	297
acos	38	37	AwayFromZero	4011	0	4
acos	38	37	Ceiling	4011	0	4
acos	38	37	Floor	4011	0	4
acos	38	37	HalfAwayFromZero	4011	0	4
acos	38	37	HalfToEven	4011	0	4
acos	38	37	HalfTowardZero	4011	0	4
acos	38	37	Trunc	4011	0	4
acos	38	37	ZeroFiveUp	4011	0	4
acos	38	6	AwayFromZero	191	0	3824
acos	38	6	Ceiling	191	0	3824
acos	38	6	Floor	191	0	3824
acos	38	6	HalfAwayFromZero	191	0	3824
acos	38	6	HalfToEven	191	0	3824
acos	38	6	HalfTowardZero	191	0	3824
acos	38	6	Trunc	191	0	3824
acos	38	6	ZeroFiveUp	191	0	3824
acos	38	9	AwayFromZero	530	0	3485
acos	38	9	Ceiling	530	0	3485
acos	38	9	Floor	530	0	3485
acos	38	9	HalfAwayFromZero	530	0	3485
acos	38	9	HalfToEven	530	0	3485
acos	38	9	HalfTowardZero	530	0	3485
acos	38	9	Trunc	530	0	3485
acos	38	9	ZeroFiveUp	530	0	3485
acos	462	0	AwayFromZero	3	0	4012
acos	462	0	Ceiling	3	0	4012
acos	462	0	Floor	3	0	4012
acos	462	0	HalfAwayFromZero	3	0	4012
acos	462	0	HalfToEven	3	0	4012
acos	462	0	HalfTowardZero	3	0	4012
acos	462	0	Trunc	3	0	4012
acos	462	0	ZeroFiveUp	3	0	4012
acos	462	100	AwayFromZero	4013	0	2
acos	462	100	Ceiling	4013	0	2
acos	462	100	Floor	4013	0	2
acos	462	100	HalfAwayFromZero	4013	0	2
acos	462	100	HalfToEven	4013	0	2
acos	462	100	HalfTowardZero	4013	0	2
acos	462	100	Trunc	4013	0	2
acos	462	100	ZeroFiveUp	4013	0	2
acos	462	115	AwayFromZero	4013	0	2
acos	462	115	Ceiling	4013	0	2
acos	462	115	Floor	4013	0	2
acos	462	115	HalfAwayFromZero	4013	0	2
acos	462	115	HalfToEven	4013	0	2
acos	462	115	HalfTowardZero	4013	0	2
acos	462	115	Trunc	4013	0	2
acos	462	115	ZeroFiveUp	4013	0	2
acos	462	180	AwayFromZero	4015	0	0
acos	462	180	Ceiling	4015	0	0
acos	462	180	Floor	4015	0	0
acos	462	180	HalfAwayFromZero	4015	0	0
acos	462	180	HalfToEven	4015	0	0
acos	462	180	HalfTowardZero	4015	0	0
acos	462	180	Trunc	4015	0	0
acos	462	180	ZeroFiveUp	4015	0	0
acos	462	231	AwayFromZero	4015	0	0
acos	462	231	Ceiling	4015	0	0
acos	462	231	Floor	4015	0	0
acos	462	231	HalfAwayFromZero	4015	0	0
acos	462	231	HalfToEven	4015	0	0
acos	462	231	HalfTowardZero	4015	0	0
acos	462	231	Trunc	4015	0	0
acos	462	231	ZeroFiveUp	4015	0	0
acos	462	30	AwayFromZero	3990	0	25
acos	462	30	Ceiling	3990	0	25
acos	462	30	Floor	3990	0	25
acos	462	30	HalfAwayFromZero	3990	0	25
acos	462	30	HalfToEven	3990	0	25
acos	462	30	HalfTowardZero	3990	0	25
acos	462	30	Trunc	3990	0	25
acos	462	30	ZeroFiveUp	3990	0	25
acos	462	346	AwayFromZero	4015	0	0
acos	462	346	Ceiling	4015	0	0
acos	462	346	Floor	4015	0	0
acos	462	346	HalfAwayFromZero	4015	0	0
acos	462	346	HalfToEven	4015	0	0
acos	462	346	HalfTowardZero	4015	0	0
acos	462	346	Trunc	4015	0	0
acos	462	346	ZeroFiveUp	4015	0	0
acos	462	461	AwayFromZero	4015	0	0
acos	462	461	Ceiling	4015	0	0
acos	462	461	Floor	4015	0	0
acos	462	461	HalfAwayFromZero	4015	0	0
acos	462	461	HalfToEven	4015	0	0
acos	462	461	HalfTowardZero	4015	0	0
acos	462	461	Trunc	4015	0	0
acos	462	461	ZeroFiveUp	4015	0	0
acos	57	0	AwayFromZero	3	0	4012
acos	57	0	Ceiling	3	0	4012
acos	57	0	Floor	3	0	4012
acos	57	0	HalfAwayFromZero	3	0	4012
acos	57	0	HalfToEven	3	0	4012
acos	57	0	HalfTowardZero	3	0	4012
acos	57	0	Trunc	3	0	4012
acos	57	0	ZeroFiveUp	3	0	4012
acos	57	14	AwayFromZero	852	0	3163
acos	57	14	Ceiling	852	0	3163
acos	57	14	Floor	852	0	3163
acos	57	14	HalfAwayFromZero	852	0	3163
acos	57	14	HalfToEven	852	0	3163
acos	57	14	HalfTowardZero	852	0	3163
acos	57	14	Trunc	852	0	3163
acos	57	14	ZeroFiveUp	852	0	3163
acos	57	20	AwayFromZero	1205	0	2810
acos	57	20	Ceiling	1205	0	2810
acos	57	20	Floor	1205	0	2810
acos	57	20	HalfAwayFromZero	1205	0	2810
acos	57	20	HalfToEven	1205	0	2810
acos	57	20	HalfTowardZero	1205	0	2810
acos	57	20	Trunc	1205	0	2810
acos	57	20	ZeroFiveUp	1205	0	2810
acos	57	28	AwayFromZero	3718	0	297
acos	57	28	Ceiling	3718	0	297
acos	57	28	Floor	3718	0	297
acos	57	28	HalfAwayFromZero	3718	0	297
acos	57	28	HalfToEven	3718	0	297
acos	57	28	HalfTowardZero	3718	0	297
acos	57	28	Trunc	3718	0	297
acos	57	28	ZeroFiveUp	3718	0	297
acos	57	30	AwayFromZero	3990	0	25
acos	57	30	Ceiling	3990	0	25
acos	57	30	Floor	3990	0	25
acos	57	30	HalfAwayFromZero	3990	0	25
acos	57	30	HalfToEven	3990	0	25
acos	57	30	HalfTowardZero	3990	0	25
acos	57	30	Trunc	3990	0	25
acos	57	30	ZeroFiveUp	3990	0	25
acos	57	42	AwayFromZero	4012	0	3
acos	57	42	Ceiling	4012	0	3
acos	57	42	Floor	4012	0	3
acos	57	42	HalfAwayFromZero	4012	0	3
acos	57	42	HalfToEven	4012	0	3
acos	57	42	HalfTowardZero	4012	0	3
acos	57	42	Trunc	4012	0	3
acos	57	42	ZeroFiveUp	4012	0	3
acos	57	56	AwayFromZero	4012	0	3
acos	57	56	Ceiling	4012	0	3
acos	57	56	Floor	4012	0	3
acos	57	56	HalfAwayFromZero	4012	0	3
acos	57	56	HalfToEven	4012	0	3
acos	57	56	HalfTowardZero	4012	0	3
acos	57	56	Trunc	4012	0	3
acos	57	56	ZeroFiveUp	4012	0	3
acos	616	0	AwayFromZero	3	0	4012
acos	616	0	Ceiling	3	0	4012
acos	616	0	Floor	3	0	4012
acos	616	0	HalfAwayFromZero	3	0	4012
acos	616	0	HalfToEven	3	0	4012
acos	616	0	HalfTowardZero	3	0	4012
acos	616	0	Trunc	3	0	4012
acos	616	0	ZeroFiveUp	3	0	4012
acos	616	130	AwayFromZero	4015	0	0
acos	616	130	Ceiling	4015	0	0
acos	616	130	Floor	4015	0	0
acos	616	130	HalfAwayFromZero	4015	0	0
acos	616	130	HalfToEven	4015	0	0
acos	616	130	HalfTowardZero	4015	0	0
acos	616	130	Trunc	4015	0	0
acos	616	130	ZeroFiveUp	4015	0	0
acos	616	154	AwayFromZero	4015	0	0
acos	616	154	Ceiling	4015	0	0
acos	616	154	Floor	4015	0	0
acos	616	154	HalfAwayFromZero	4015	0	0
acos	616	154	HalfToEven	4015	0	0
acos	616	154	HalfTowardZero	4015	0	0
acos	616	154	Trunc	4015	0	0
acos	616	154	ZeroFiveUp	4015	0	0
acos	616	240	AwayFromZero	4015	0	0
acos	616	240	Ceiling	4015	0	0
acos	616	240	Floor	4015	0	0
acos	616	240	HalfAwayFromZero	4015	0	0
acos	616	240	HalfToEven	4015	0	0
acos	616	240	HalfTowardZero	4015	0	0
acos	616	240	Trunc	4015	0	0
acos	616	240	ZeroFiveUp	4015	0	0
acos	616	30	AwayFromZero	3990	0	25
acos	616	30	Ceiling	3990	0	25
acos	616	30	Floor	3990	0	25
acos	616	30	HalfAwayFromZero	3990	0	25
acos	616	30	HalfToEven	3990	0	25
acos	616	30	HalfTowardZero	3990	0	25
acos	616	30	Trunc	3990	0	25
acos	616	30	ZeroFiveUp	3990	0	25
acos	616	308	AwayFromZero	4015	0	0
acos	616	308	Ceiling	4015	0	0
acos	616	308	Floor	4015	0	0
acos	616	308	HalfAwayFromZero	4015	0	0
acos	616	308	HalfToEven	4015	0	0
acos	616	308	HalfTowardZero	4015	0	0
acos	616	308	Trunc	4015	0	0
acos	616	308	ZeroFiveUp	4015	0	0
acos	616	462	AwayFromZero	4015	0	0
acos	616	462	Ceiling	4015	0	0
acos	616	462	Floor	4015	0	0
acos	616	462	HalfAwayFromZero	4015	0	0
acos	616	462	HalfToEven	4015	0	0
acos	616	462	HalfTowardZero	4015	0	0
acos	616	462	Trunc	4015	0	0
acos	616	462	ZeroFiveUp	4015	0	0
acos	616	590	AwayFromZero	4015	0	0
acos	616	590	Ceiling	4015	0	0
acos	616	590	Floor	4015	0	0
acos	616	590	HalfAwayFromZero	4015	0	0
acos	616	590	HalfToEven	4015	0	0
acos	616	590	HalfTowardZero	4015	0	0
acos	616	590	Trunc	4015	0	0
acos	616	590	ZeroFiveUp	4015	0	0
acos	616	615	AwayFromZero	4015	0	0
acos	616	615	Ceiling	4015	0	0
acos	616	615	Floor	4015	0	0
acos	616	615	HalfAwayFromZero	4015	0	0
acos	616	615	HalfToEven	4015	0	0
acos	616	615	HalfTowardZero	4015	0	0
acos	616	615	Trunc	4015	0	0
acos	616	615	ZeroFiveUp	4015	0	0
acos	76	0	AwayFromZero	3	0	4012
acos	76	0	Ceiling	3	0	4012
acos	76	0	Floor	3	0	4012
acos	76	0	HalfAwayFromZero	3	0	4012
acos	76	0	HalfToEven	3	0	4012
acos	76	0	HalfTowardZero	3	0	4012
acos	76	0	Trunc	3	0	4012
acos	76	0	ZeroFiveUp	3	0	4012
acos	76	18	AwayFromZero	955	0	3060
acos	76	18	Ceiling	955	0	3060
acos	76	18	Floor	955	0	3060
acos	76	18	HalfAwayFromZero	955	0	3060
acos	76	18	HalfToEven	955	0	3060
acos	76	18	HalfTowardZero	955	0	3060
acos	76	18	Trunc	955	0	3060
acos	76	18	ZeroFiveUp	955	0	3060
acos	76	19	AwayFromZero	1203	0	2812
acos	76	19	Ceiling	1203	0	2812
acos	76	19	Floor	1203	0	2812
acos	76	19	HalfAwayFromZero	1203	0	2812
acos	76	19	HalfToEven	1203	0	2812
acos	76	19	HalfTowardZero	1203	0	2812
acos	76	19	Trunc	1203	0	2812
acos	76	19	ZeroFiveUp	1203	0	2812
acos	76	38	AwayFromZero	4012	0	3
acos	76	38	Ceiling	4012	0	3
